parent_voyage,unaligned_rows,shore_rows,external_charging_rows,physical_inconsistency_rows,abnormal_rows,abnormal_status
3月25日14_00_3月25日17_00,0,0,0,0,0,available
3月26日14_00_3月26日16_00,0,4,4,0,7,available
3月27日07_00_3月27日11_00,0,12,12,0,0,available
3月28日08_00_3月28日11_00,1,0,0,0,0,available
3月29日08_00_3月29日15_00,0,49,49,2,0,available
4月2日14_00_4月2日17_00,0,75,75,0,0,available
4月3日08_00_4月3日11_00,0,10,10,0,0,available
4月7日08_00_4月7日12_00,1,0,0,0,0,available
4月8日08_00_4月8日12_00,0,40,40,0,0,available
4月9日08_00_4月9日11_00,0,48,48,0,11,available
4月12日08_00_4月12日16_00,0,83,83,0,0,available
4月15日08_00_4月15日17_00,0,469,469,0,56,available
4月16日08_00_4月16日19_00,0,353,353,2,6,available
4月17日07_00_4月17日17_00,0,144,144,1,0,available
4月18日12_00_4月18日18_00,0,98,98,0,12,available
4月21日08_00_4月21日16_00,1,0,0,0,0,available
4月22日14_00_4月22日17_00,0,11,11,0,24,available
4月23日13_00_4月23日18_00,0,0,0,0,0,available
4月24日07_00_4月24日17_00,0,0,0,0,0,available
4月25日08_00_4月25日18_00,1,119,119,0,0,available
4月28日08_00_4月28日12_00,0,35,35,0,0,available
4月29日08_00_4月29日18_00,0,50,50,0,0,available
4月30日08_00_4月30日15_00,1,99,99,0,17,available
5月7日08_00_5月7日18_00,0,103,103,1,0,available
5月8日08_00_5月8日17_00,0,79,79,0,0,available
5月9日08_00_5月9日17_00,1,407,407,15,43,available
5月10日08_00_5月10日10_00,0,74,74,0,0,available
5月11日08_00_5月11日11_00,0,0,0,80,0,available
5月13日08_00_5月13日11_00,0,0,0,0,0,available
5月14日12_00_5月14日19_00,4,60,60,46,0,available
5月15日08_00_5月15日17_00,0,12,12,214,0,available
5月17日08_00_5月17日18_00,0,0,0,11,0,available
5月20日08_00_5月20日18_00,1,108,108,58,0,available
5月21日05_00_5月21日11_00,0,0,0,16,0,available
5月24日08_00_5月24日19_00,229,0,0,208,55,available
5月27日08_00_5月27日19_00,2,83,83,41,0,available
5月29日14_00_5月29日17_00,2,0,0,22,0,available
5月30日05_00_5月30日17_00,1,0,0,383,0,available
6月4日08_00_6月4日12_00,0,0,0,0,0,available
6月5日08_00_6月5日19_00,0,205,205,0,0,available
6月6日10_00_6月6日21_00,0,76,76,0,0,available
6月7日00_00_6月7日24_00,1,225,225,3,0,available
6月11日08_00_6月11日11_00,0,0,0,1,0,available
6月12日14_00_6月12日17_00,0,7,7,0,0,available
6月13日08_00_6月13日14_00,1,0,0,0,24,available
6月14日08_00_6月15日18_00,1,1923,1923,2,6,available
6月17日09_00_6月17日16_00,1,0,0,0,0,available
6月20日08_00_6月20日16_00,2,0,0,3,0,available
6月26日08_00_6月26日13_00,0,0,0,0,0,available
6月28日08_00_6月28日15_00,0,0,0,0,0,available
6月30日05_00_6月30日11_00,2,49,49,0,0,available
7月2日14_00_7月2日18_00,0,0,0,2,0,available
7月3日08_00_7月3日16_00,1,0,0,1,0,available
7月9日08_00_7月9日16_00,7,0,0,0,12,available
7月10日08_00_7月10日18_00,0,0,0,0,0,available
7月11日06_00_7月12日10_00,1,1640,1640,0,0,available
7月15日14_00_7月15日16_00,0,0,0,0,0,available
7月18日08_00_7月18日12_00,0,0,0,0,0,available
7月19日07_00_7月19日09_00,0,0,0,0,0,available
7月22日08_00_7月22日11_00,0,0,0,0,0,available
7月23日12_00_7月23日15_00,0,0,0,0,0,available
7月24日14_00_7月24日17_00,0,0,0,0,11,available
7月25日08_00_7月25日17_00,0,46,46,0,0,available
7月26日11_00_7月26日13_00,1,0,0,0,0,available
7月29日14_00_7月29日17_00,0,0,0,0,0,available
7月31日08_00_7月31日11_00,0,0,0,0,0,available
